x,y,z,count
264.595,-183.87,195.93,78
521.301,242.679,-108.099,80
-7.54294,-286.398,519.662,162
17.624,454.761,231.116,89
290.313,389.662,-371.892,181
-113.926,106.42,-159.107,84
-205.821,395.166,-141.896,113
88.8138,-25.1543,50.0341,90
-335.191,-93.2754,409.638,93
-27.2875,90.7396,116.596,89
489.406,-24.4569,2.67336,79
73.0571,-28.7846,-573.61,107
157.397,-234.55,421.543,96
539.152,22.7354,-135.364,116
332.003,-154.128,-489.044,42
-242.054,-130.241,421.682,77
-175.003,466.5,-118.28,99
305.843,76.9325,379.257,86
-100.129,-23.517,-294.201,84
-437.563,-212.583,-140.512,79
-234.768,-421.903,137.943,86
170.787,457.892,28.0043,123
-350.692,117.876,-383.065,67
257.142,181.605,341.061,107
393.481,-200.933,260.911,86
108.986,-386.743,-282.302,103
-146.383,-15.2211,196.089,94
-225.543,-279.663,498.239,85
482.331,-248.03,-272.463,94
157.798,51.3513,-207.463,91
238.958,-448.969,260.463,107
314.757,-255.307,-103.793,89
-300.063,248.322,346.096,97
132.575,-58.5885,-545.304,89
179.594,257.641,-168.796,101
-288.1,28.4179,-438.128,90
-112.872,534.399,57.1677,105
85.9166,498.69,-71.0058,105
-61.6106,-438.4,-403.212,71
87.1275,524.157,-167.401,78
233.69,-129.704,357.562,86
79.1673,51.9742,447.718,99
-41.4882,-14.4161,561.493,78
-432.847,-112.533,-94.1653,86
-219.101,-524.926,-88.222,127
-22.3558,-143.855,397.94,111
137.956,297.377,189.258,105
280.342,-269.218,-383.615,109
-100.841,-388.885,-357.049,99
-445.281,-209.797,259.444,85
210.415,396.244,350.619,91
-150.456,-199.779,-59.7521,94
293.655,282.781,-382.356,120
373.048,-53.8412,-10.7368,96
-90.4721,108.253,409.281,75
-80.3666,136.673,-239.441,82
354.011,-37.8468,304.591,92
42.0903,196.791,273.261,103
11.4037,-242.146,-196.648,96
11.5799,-354.082,-504.189,78
342.857,149.363,-42.3544,79
-50.3594,550.978,-167.677,87
16.8017,-142.207,539.503,113
-74.1616,-93.1217,-534.358,105
502.589,-156.904,-249.843,91
500.286,-209.627,109.158,86
-615.936,32.5075,-39.9558,68
443.005,-102.08,146.077,79
346.486,-379.243,92.0431,84
30.1994,-554.152,122.561,80
10.7302,-57.8854,-563.207,100
-77.8665,-150.792,181.891,95
243.816,-282.874,-227.648,107
157.113,113.813,420.071,103
241.939,-233.414,13.2418,105
-427.641,277.036,0.245122,78
-264.779,-446.855,40.0147,112
-394.376,19.6131,-275.232,74
-93.936,67.2312,-344.033,89
239.69,331.675,27.3826,93
-281.938,-164.446,-124.76,100
-432.837,338.356,-279.468,99
111.775,355.448,-202.587,80
7.58347,286.949,-328.612,114
42.4609,-23.606,129.33,105
